Time,Map,Kill,RWS,Rating,Won
06-13 11:44,Dust2,13,7.72,0.7,0
06-12 21:17,Dust2,6,1.54,0.5,0
06-12 20:42,Mirage,10,7.03,0.86,1
06-12 18:04,Dust2,5,3.5,0.46,0
06-12 17:00,Dust2,2,15.66,0.72,1
06-12 15:30,Dust2,13,10.81,0.78,1
06-12 06:28,Inferno,17,9.12,1.08,1
06-12 05:01,Dust2,14,4.64,0.65,0
06-12 04:32,Dust2,9,7.51,0.79,1
06-11 22:43,Dust2,7,1.57,0.6,0
06-11 22:13,Inferno,6,3.76,0.46,0
06-11 21:42,Dust2,8,2.96,0.57,0
06-11 19:03,Dust2,12,5.05,0.79,0
06-11 00:02,Dust2,11,10.88,1.2,1
06-10 23:38,Dust2,8,8.64,1.17,1
06-10 20:44,Mirage,12,12.49,1.24,1
06-10 19:22,Dust2,9,8.83,0.79,0
06-10 16:56,Dust2,5,3.32,0.48,0
06-10 16:15,Dust2,7,8.26,0.63,1
06-10 14:48,Inferno,18,13.06,0.98,1
06-10 14:01,Mirage,8,0.2,0.59,0
06-09 22:19,Dust2,14,9.95,0.87,1
06-09 21:08,Dust2,17,13.55,1.11,1
06-09 20:31,Dust2,7,2.38,0.56,0
06-09 19:07,Mirage,13,8.64,0.94,0
06-09 15:50,Dust2,15,9.93,1.12,1
06-09 12:36,Dust2,16,10.64,0.92,0
06-08 16:33,Dust2,9,4.15,0.65,0
06-08 14:11,Dust2,8,8.02,0.54,0
06-08 12:38,Dust2,7,4.76,0.46,0
06-08 02:20,Dust2,5,2.19,0.4,0
06-08 01:49,Mirage,10,7.19,0.78,1
06-08 01:13,Dust2,8,4.47,0.57,0
06-07 20:57,Inferno,14,12.59,0.86,1
06-07 20:02,Mirage,6,4.73,0.36,0
06-07 18:58,Mirage,6,14.85,0.75,1
06-07 17:55,Dust2,12,8.61,0.8,1
06-07 17:17,Dust2,7,7.29,0.58,1
06-07 16:58,Mirage,2,0.0,0.27,0
06-07 11:31,Dust2,1,0.0,0.15,0
06-06 23:34,Mirage,12,5.43,0.65,0
06-06 22:56,Dust2,16,10.71,0.86,0
